min_sep,seed,n_closest,n_sim,elapsed_sec,analysis_type,exon_orders,n_exons,n_subjects,n_events,diameter_1d,diameter_3d,p_1d_size,p_3d_size,p_1d_joint,p_3d_joint,p_any_joint,p_hotspot_omnibus,significant_1d,significant_3d,significant_any,hotspot_class
0,20260903,10,1000,366.543890953064,ALL_CNA,4;5,2,78,78,1,4.13552719441997,0.457085828343313,0.393213572854291,0.998003992015968,0.994011976047904,0.994011976047904,0.994011976047904,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,5;6,2,79,85,1,5.10646534810882,0.469061876247505,0.469061876247505,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,5;6;7;8;9,5,80,87,4,10.9439491443034,0.554890219560878,0.554890219560878,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,ALL_CNA,1,1,23,23,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,2,1,83,83,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,3,1,81,81,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,4,1,78,78,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,5,1,78,78,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,6,1,60,60,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,7,1,59,59,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,8,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,9,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,ALL_CNA,1;2;3;4;5;6;7;8;9,9,104,130,8,28.8115114211029,,,,,,,False,False,False,Multi-exon compactness not testable: invariant null
0,20260903,10,1000,366.543890953064,GAIN,9,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,GAIN,8,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,GAIN,7,1,4,4,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,GAIN,6,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,GAIN,5,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,3;4;5,3,71,73,2,4.76045896674616,0.0419161676646707,0.0419161676646707,0.0499001996007984,0.0499001996007984,0.0499001996007984,0.0499001996007984,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,HETDEL,8;9,2,39,39,1,5.05285036511315,0.193612774451098,0.193612774451098,0.634730538922156,0.634730538922156,0.634730538922156,0.634730538922156,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,7;8,2,41,41,1,4.68982927509073,0.24750499001996,0.209580838323353,0.768463073852295,0.63872255489022,0.63872255489022,0.63872255489022,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,6;7,2,43,43,1,4.01215181792149,0.313373253493014,0.231536926147705,0.832335329341317,0.726546906187625,0.726546906187625,0.726546906187625,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,1;2,2,61,62,1,4.22655401260275,0.437125748502994,0.2375249500998,0.968063872255489,0.75249500998004,0.75249500998004,0.75249500998004,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,7;8;9,3,41,41,2,9.22117879870951,0.249500998003992,0.249500998003992,0.768463073852295,0.768463073852295,0.768463073852295,0.768463073852295,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,6;7;8;9,4,43,43,3,9.22117879870951,0.313373253493014,0.313373253493014,0.832335329341317,0.832335329341317,0.832335329341317,0.832335329341317,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,4;5,2,56,56,1,4.13552719441997,0.493013972055888,0.461077844311377,0.984031936127745,0.974051896207585,0.974051896207585,0.974051896207585,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,5;6,2,60,61,1,5.10646534810882,0.48502994011976,0.49500998003992,0.984031936127745,0.984031936127745,0.984031936127745,0.984031936127745,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,5;6;7;8;9,5,60,61,4,10.9439491443034,0.596806387225549,0.590818363273453,0.996007984031936,0.996007984031936,0.996007984031936,0.996007984031936,False,False,False,Weak clustering evidence
0,20260903,10,1000,366.543890953064,HETDEL,1,1,18,18,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,2,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,3,1,54,54,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,4,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,5,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,6,1,43,43,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,7,1,41,41,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,8,1,39,39,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,9,1,38,38,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,1;2;3;4;5;6;7;8;9,9,81,88,8,28.8115114211029,,,,,,,False,False,False,Multi-exon compactness not testable: invariant null
0,20260903,10,1000,366.543890953064,HOMDEL,3;4,2,31,31,1,4.76045896674616,0.0059880239520958,0.0259481037924152,0.0239520958083832,0.0678642714570858,0.0239520958083832,0.0239520958083832,True,False,True,Exon-order hotspot without independent 3D enrichment
0,20260903,10,1000,366.543890953064,HOMDEL,1;2;3;4,4,33,33,3,16.3460643982555,0.0139720558882236,0.0578842315369262,0.0279441117764471,0.105788423153693,0.0279441117764471,0.0279441117764471,True,False,True,Exon-order hotspot without independent 3D enrichment
0,20260903,10,1000,366.543890953064,GAIN,3,1,2,2,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,GAIN,4,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
0,20260903,10,1000,366.543890953064,HETDEL,3;4,2,71,73,1,4.76045896674616,0.0019960079840319,0.0419161676646707,0.0039920159680638,0.0499001996007984,0.0039920159680638,0.0039920159680638,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,HETDEL,1;2;3;4;5,5,77,83,4,16.3460643982555,0.0199600798403194,0.0199600798403194,0.0179640718562874,0.0179640718562874,0.0179640718562874,0.0179640718562874,True,True,True,Exon-local CNA hotspot also compact in structure
0,20260903,10,1000,366.543890953064,HETDEL,1;2;3;4,4,77,83,3,16.3460643982555,0.0019960079840319,0.0199600798403194,0.0039920159680638,0.0179640718562874,0.0039920159680638,0.0039920159680638,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,1,1,23,23,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,2,1,83,83,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,3,1,81,81,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,4,1,78,78,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,5,1,78,78,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,6;7;8;9,4,15,15,3,9.22117879870951,0.439121756487026,0.439121756487026,0.944111776447106,0.944111776447106,0.944111776447106,0.944111776447106,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,7;8;9,3,15,15,2,9.22117879870951,0.439121756487026,0.439121756487026,0.944111776447106,0.944111776447106,0.944111776447106,0.944111776447106,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,5;6,2,19,20,1,5.34016858824712,0.746506986027944,0.746506986027944,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,5;6;7;8;9,5,20,21,4,10.9439491443034,0.832335329341317,0.832335329341317,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,1;2;3;4;5;6;7;8;9,9,34,35,8,28.8115114211029,1.0,1.0,1.0,1.0,1.0,1.0,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,1,1,3,3,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,2,1,26,26,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,3,1,25,25,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,4,1,19,19,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,5,1,19,19,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,6,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,7,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,8,1,14,14,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HOMDEL,9,1,15,15,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,3;5,2,95,107,2,4.73759090455041,0.0099800399201596,0.0019960079840319,0.0199600798403194,0.0119760479041916,0.0119760479041916,0.0119760479041916,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,3;4,2,95,107,1,6.61099838279165,0.0019960079840319,0.0099800399201596,0.0119760479041916,0.0199600798403194,0.0119760479041916,0.0119760479041916,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,1;2;3;4,4,102,121,3,16.3460643982555,0.0019960079840319,0.0059880239520958,0.0119760479041916,0.0199600798403194,0.0119760479041916,0.0119760479041916,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,3;4;5,3,95,107,2,6.61099838279165,0.0099800399201596,0.0099800399201596,0.0199600798403194,0.0199600798403194,0.0199600798403194,0.0199600798403194,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,1;2;3;4;5,5,102,121,4,16.3460643982555,0.0059880239520958,0.0059880239520958,0.0199600798403194,0.0199600798403194,0.0199600798403194,0.0199600798403194,True,True,True,Exon-local CNA hotspot also compact in structure
5,20260903,10,1000,367.953918218613,ALL_CNA,1;2,2,89,92,1,5.23118616093423,0.0279441117764471,0.12375249500998,0.0778443113772455,0.413173652694611,0.0778443113772455,0.0778443113772455,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,8;9,2,56,57,1,5.24482666905714,0.129740518962076,0.129740518962076,0.524950099800399,0.524950099800399,0.524950099800399,0.524950099800399,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,7;8,2,59,59,1,4.84404166144632,0.201596806387226,0.13373253493014,0.816367265469062,0.608782435129741,0.608782435129741,0.608782435129741,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,6;7,2,61,61,1,4.75173994546044,0.209580838323353,0.153692614770459,0.852295409181637,0.746506986027944,0.746506986027944,0.746506986027944,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,7;8;9,3,59,60,2,9.22117879870951,0.201596806387226,0.201596806387226,0.816367265469062,0.816367265469062,0.816367265469062,0.816367265469062,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,6;7;8;9,4,61,62,3,9.22117879870951,0.211576846307385,0.211576846307385,0.852295409181637,0.852295409181637,0.852295409181637,0.852295409181637,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,5;6,2,79,85,1,5.34016858824712,0.393213572854291,0.373253493013972,0.992015968063872,0.992015968063872,0.992015968063872,0.992015968063872,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,5;6;7;8;9,5,80,87,4,10.9439491443034,0.467065868263473,0.467065868263473,0.994011976047904,0.994011976047904,0.994011976047904,0.994011976047904,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,ALL_CNA,6,1,60,60,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,7,1,59,59,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,8,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,9,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,ALL_CNA,1;2;3;4;5;6;7;8;9,9,104,130,8,28.8115114211029,,,,,,,False,False,False,Multi-exon compactness not testable: invariant null
5,20260903,10,1000,367.953918218613,HOMDEL,8;9,2,15,15,1,5.24482666905714,0.429141716566866,0.429141716566866,0.944111776447106,0.944111776447106,0.944111776447106,0.944111776447106,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,7;8,2,14,14,1,4.84404166144632,0.393213572854291,0.337325349301397,0.944111776447106,0.892215568862275,0.892215568862275,0.892215568862275,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,6;7,2,14,14,1,4.75173994546044,0.393213572854291,0.325349301397206,0.944111776447106,0.87624750499002,0.87624750499002,0.87624750499002,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,1;2,2,27,27,1,5.23118616093423,0.159680638722555,0.205588822355289,0.281437125748503,0.413173652694611,0.281437125748503,0.281437125748503,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,1;2;3;4;5,5,33,33,4,16.3460643982555,0.0578842315369262,0.0578842315369262,0.0998003992015968,0.0998003992015968,0.0998003992015968,0.0998003992015968,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,3;4;5,3,31,31,2,6.61099838279165,0.0279441117764471,0.0279441117764471,0.0698602794411178,0.0698602794411178,0.0698602794411178,0.0698602794411178,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HOMDEL,1;2;3;4,4,33,33,3,16.3460643982555,0.0139720558882236,0.0578842315369262,0.0339321357285429,0.0998003992015968,0.0339321357285429,0.0339321357285429,True,False,True,Exon-order hotspot without independent 3D enrichment
5,20260903,10,1000,367.953918218613,HOMDEL,3;5,2,31,31,2,4.73759090455041,0.0279441117764471,0.0139720558882236,0.0698602794411178,0.0339321357285429,0.0339321357285429,0.0339321357285429,False,True,True,Nonlocal 3D-specific exon CNA hotspot
5,20260903,10,1000,367.953918218613,HOMDEL,3;4,2,31,31,1,6.61099838279165,0.0059880239520958,0.0279441117764471,0.0219560878243513,0.0698602794411178,0.0219560878243513,0.0219560878243513,True,False,True,Exon-order hotspot without independent 3D enrichment
5,20260903,10,1000,367.953918218613,HETDEL,1;2;3;4;5;6;7;8;9,9,81,88,8,28.8115114211029,,,,,,,False,False,False,Multi-exon compactness not testable: invariant null
5,20260903,10,1000,367.953918218613,HETDEL,9,1,38,38,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,8,1,39,39,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,7,1,41,41,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,6,1,43,43,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,5,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,4,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,3,1,54,54,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,2,1,56,56,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,1,1,18,18,0,0.0,,,,,,,False,False,False,Single-exon recurrence assessed separately
5,20260903,10,1000,367.953918218613,HETDEL,5;6;7;8;9,5,60,61,4,10.9439491443034,0.510978043912176,0.50499001996008,0.984031936127745,0.984031936127745,0.984031936127745,0.984031936127745,False,False,False,Weak clustering evidence
5,20260903,10,1000,367.953918218613,HETDEL,5;6,2,60,61,1,5.34016858824712,0.391217564870259,0.31936127744511,0.970059880239521,0.880239520958084,0.880239520958084,0.880239520958084,False,False,False,Weak clustering evidence
